date,time,r/w serial#,antenna power#0,antenna power#1,TAG No.,elapsed time,PC,EPC,CRC,RSSI,COUNT,ANT,misc.
20251126,15:59:56.101,SeleneSNum0001  ,24.0,24.0,1,4798586,3000,E280116060000204AC6AD1FE,C68D,-59.9,3,0,N/A
20251126,15:59:56.101,SeleneSNum0001  ,24.0,24.0,2,4798591,3000,E280116060000204AC6AD1F9,B66A,-61.8,1,0,N/A
20251126,15:59:56.101,SeleneSNum0001  ,24.0,24.0,3,4798602,3000,E280116060000204AC6AD0E6,6685,-57.0,3,0,N/A
20251126,15:59:56.101,SeleneSNum0001  ,24.0,24.0,4,4798608,3000,E280116060000204AC6AD1FD,F6EE,-58.3,1,0,N/A
20251126,15:59:56.170,SeleneSNum0001  ,24.0,24.0,5,4798627,3000,E280116060000204AC6AD1F9,B66A,-64.3,5,0,N/A
20251126,15:59:56.170,SeleneSNum0001  ,24.0,24.0,6,4798635,3000,E280116060000204AC6AD1FD,F6EE,-57.6,5,0,N/A
20251126,15:59:56.170,SeleneSNum0001  ,24.0,24.0,7,4798654,3000,E280116060000204AC6AD0E6,6685,-57.0,3,0,N/A
20251126,15:59:56.170,SeleneSNum0001  ,24.0,24.0,8,4798665,3000,E280116060000204AC6AD1FE,C68D,-59.1,3,0,N/A
20251126,15:59:56.219,SeleneSNum0001  ,24.0,24.0,9,4798700,3000,E280116060000204AC6AD0E6,6685,-57.0,3,0,N/A
20251126,15:59:56.219,SeleneSNum0001  ,24.0,24.0,10,4798705,3000,E280116060000204AC6AD1FE,C68D,-58.3,1,0,N/A
20251126,15:59:56.219,SeleneSNum0001  ,24.0,24.0,11,4798714,3000,E280116060000204AC6AD1FD,F6EE,-58.3,3,0,N/A
20251126,15:59:56.219,SeleneSNum0001  ,24.0,24.0,12,4798720,3000,E280116060000204AC6AD1F9,B66A,-63.6,3,0,N/A
20251126,15:59:56.286,SeleneSNum0001  ,24.0,24.0,13,4798748,3000,E280116060000204AC6AD1FE,C68D,-58.3,5,0,N/A
20251126,15:59:56.286,SeleneSNum0001  ,24.0,24.0,14,4798766,3000,E280116060000204AC6AD1FD,F6EE,-59.1,3,0,N/A
20251126,15:59:56.286,SeleneSNum0001  ,24.0,24.0,15,4798770,3000,E280116060000204AC6AD0E6,6685,-57.6,3,0,N/A
20251126,15:59:56.286,SeleneSNum0001  ,24.0,24.0,16,4798778,3000,E280116060000204AC6AD1F9,B66A,-63.0,3,0,N/A
20251126,15:59:56.355,SeleneSNum0001  ,24.0,24.0,17,4798813,3000,E280116060000204AC6AD1F9,B66A,-63.0,5,0,N/A
20251126,15:59:56.355,SeleneSNum0001  ,24.0,24.0,18,4798826,3000,E280116060000204AC6AD0E6,6685,-57.0,5,0,N/A
20251126,15:59:56.355,SeleneSNum0001  ,24.0,24.0,19,4798872,3000,E280116060000204AC6AD1FE,C68D,-58.3,1,0,N/A
20251126,15:59:56.355,SeleneSNum0001  ,24.0,24.0,20,4798879,3000,E280116060000204AC6AD1FD,F6EE,-59.1,1,0,N/A
20251126,15:59:56.410,SeleneSNum0001  ,24.0,24.0,21,4798887,3000,E280116060000204AC6AD1FD,F6EE,-58.3,3,0,N/A
20251126,15:59:56.410,SeleneSNum0001  ,24.0,24.0,22,4798891,3000,E280116060000204AC6AD1FE,C68D,-58.3,3,0,N/A
20251126,15:59:56.410,SeleneSNum0001  ,24.0,24.0,23,4798899,3000,E280116060000204AC6AD0E6,6685,-57.6,3,0,N/A
20251126,15:59:56.410,SeleneSNum0001  ,24.0,24.0,24,4798905,3000,E280116060000204AC6AD1F9,B66A,-61.8,1,0,N/A
20251126,15:59:56.471,SeleneSNum0001  ,24.0,24.0,25,4798937,3000,E280116060000204AC6AD1F9,B66A,-61.8,5,0,N/A
20251126,15:59:56.471,SeleneSNum0001  ,24.0,24.0,26,4798945,3000,E280116060000204AC6AD0E6,6685,-57.0,3,0,N/A
20251126,15:59:56.471,SeleneSNum0001  ,24.0,24.0,27,4798957,3000,E280116060000204AC6AD1FE,C68D,-59.1,3,0,N/A
20251126,15:59:56.471,SeleneSNum0001  ,24.0,24.0,28,4798971,3000,E280116060000204AC6AD1FD,F6EE,-59.1,1,0,N/A
20251126,15:59:56.540,SeleneSNum0001  ,24.0,24.0,29,4798999,3000,E280116060000204AC6AD1FD,F6EE,-58.3,3,0,N/A
20251126,15:59:56.540,SeleneSNum0001  ,24.0,24.0,30,4799006,3000,E280116060000204AC6AD1F9,B66A,-61.8,3,0,N/A
20251126,15:59:56.540,SeleneSNum0001  ,24.0,24.0,31,4799025,3000,E280116060000204AC6AD1FE,C68D,-59.9,3,0,N/A
20251126,15:59:56.540,SeleneSNum0001  ,24.0,24.0,32,4799030,3000,E280116060000204AC6AD0E6,6685,-57.6,3,0,N/A
20251126,15:59:56.602,SeleneSNum0001  ,24.0,24.0,33,4799059,3000,E280116060000204AC6AD1FD,F6EE,-58.3,5,0,N/A
20251126,15:59:56.602,SeleneSNum0001  ,24.0,24.0,34,4799074,3000,E280116060000204AC6AD1F9,B66A,-61.8,1,0,N/A
20251126,15:59:56.602,SeleneSNum0001  ,24.0,24.0,35,4799083,3000,E280116060000204AC6AD0E6,6685,-57.0,5,0,N/A
20251126,15:59:56.602,SeleneSNum0001  ,24.0,24.0,36,4799089,3000,E280116060000204AC6AD1FE,C68D,-58.3,3,0,N/A
20251126,15:59:56.656,SeleneSNum0001  ,24.0,24.0,37,4799132,3000,E280116060000204AC6AD1FE,C68D,-59.1,5,0,N/A
20251126,15:59:56.656,SeleneSNum0001  ,24.0,24.0,38,4799136,3000,E280116060000204AC6AD1FD,F6EE,-58.3,3,0,N/A
20251126,15:59:56.656,SeleneSNum0001  ,24.0,24.0,39,4799148,3000,E280116060000204AC6AD0E6,6685,-57.0,1,0,N/A
20251126,15:59:56.656,SeleneSNum0001  ,24.0,24.0,40,4799153,3000,E280116060000204AC6AD1F9,B66A,-63.6,1,0,N/A
