date,time,r/w serial#,antenna power#0,antenna power#1,TAG No.,elapsed time,PC,EPC,CRC,RSSI,COUNT,ANT,misc.
20251126,18:13:32.381,SeleneSNum0001  ,24.0,24.0,1,9955946,3000,E280116060000204AC6AD1FE,C68D,-62.4,3,0,N/A
20251126,18:13:32.381,SeleneSNum0001  ,24.0,24.0,2,9955955,3000,E280116060000204AC6AD1FD,F6EE,-68.4,1,0,N/A
20251126,18:13:32.381,SeleneSNum0001  ,24.0,24.0,3,9955962,3000,E280116060000204AC6AD1F9,B66A,-57.0,1,0,N/A
20251126,18:13:32.381,SeleneSNum0001  ,24.0,24.0,4,9955966,3000,E280116060000204AC6AD0E6,6685,-60.8,1,0,N/A
20251126,18:13:32.450,SeleneSNum0001  ,24.0,24.0,5,9955992,3000,E280116060000204AC6AD1FD,F6EE,-65.1,5,0,N/A
20251126,18:13:32.450,SeleneSNum0001  ,24.0,24.0,6,9955998,3000,E280116060000204AC6AD1F9,B66A,-57.0,5,0,N/A
20251126,18:13:32.450,SeleneSNum0001  ,24.0,24.0,7,9956009,3000,E280116060000204AC6AD1FB,9628,-65.1,3,0,N/A
20251126,18:13:32.450,SeleneSNum0001  ,24.0,24.0,8,9956023,3000,E280116060000204AC6AD0E6,6685,-59.9,1,0,N/A
20251126,18:13:32.450,SeleneSNum0001  ,24.0,24.0,9,9956027,3000,E280116060000204AC6AD1FE,C68D,-64.3,3,0,N/A
20251126,18:13:32.507,SeleneSNum0001  ,24.0,24.0,10,9956064,3000,E280116060000204AC6AD1F9,B66A,-56.4,3,0,N/A
20251126,18:13:32.507,SeleneSNum0001  ,24.0,24.0,11,9956070,3000,E280116060000204AC6AD1FD,F6EE,-71.9,3,0,N/A
20251126,18:13:32.507,SeleneSNum0001  ,24.0,24.0,12,9956075,3000,E280116060000204AC6AD1FB,9628,-65.9,3,0,N/A
20251126,18:13:32.507,SeleneSNum0001  ,24.0,24.0,13,9956081,3000,E280116060000204AC6AD1FE,C68D,-64.3,3,0,N/A
20251126,18:13:32.507,SeleneSNum0001  ,24.0,24.0,14,9956087,3000,E280116060000204AC6AD0E6,6685,-61.8,3,0,N/A
20251126,18:13:32.570,SeleneSNum0001  ,24.0,24.0,15,9956129,3000,E280116060000204AC6AD1F9,B66A,-57.0,1,0,N/A
20251126,18:13:32.570,SeleneSNum0001  ,24.0,24.0,16,9956138,3000,E280116060000204AC6AD0E6,6685,-64.3,1,0,N/A
20251126,18:13:32.570,SeleneSNum0001  ,24.0,24.0,17,9956143,3000,E280116060000204AC6AD1FE,C68D,-62.4,3,0,N/A
20251126,18:13:32.570,SeleneSNum0001  ,24.0,24.0,18,9956162,3000,E280116060000204AC6AD1FD,F6EE,-65.1,3,0,N/A
20251126,18:13:32.634,SeleneSNum0001  ,24.0,24.0,19,9956185,3000,E280116060000204AC6AD0E6,6685,-63.6,3,0,N/A
20251126,18:13:32.634,SeleneSNum0001  ,24.0,24.0,20,9956189,3000,E280116060000204AC6AD1F9,B66A,-56.4,5,0,N/A
20251126,18:13:32.634,SeleneSNum0001  ,24.0,24.0,21,9956209,3000,E280116060000204AC6AD1FD,F6EE,-65.9,3,0,N/A
20251126,18:13:32.634,SeleneSNum0001  ,24.0,24.0,22,9956218,3000,E280116060000204AC6AD1FE,C68D,-60.8,1,0,N/A
20251126,18:13:32.703,SeleneSNum0001  ,24.0,24.0,23,9956249,3000,E280116060000204AC6AD0E6,6685,-61.8,5,0,N/A
20251126,18:13:32.703,SeleneSNum0001  ,24.0,24.0,24,9956257,3000,E280116060000204AC6AD1FE,C68D,-60.8,5,0,N/A
20251126,18:13:32.703,SeleneSNum0001  ,24.0,24.0,25,9956277,3000,E280116060000204AC6AD1F9,B66A,-55.8,1,0,N/A
20251126,18:13:32.703,SeleneSNum0001  ,24.0,24.0,26,9956283,3000,E280116060000204AC6AD1FD,F6EE,-65.1,3,0,N/A
20251126,18:13:32.766,SeleneSNum0001  ,24.0,24.0,27,9956309,3000,E280116060000204AC6AD1F9,B66A,-56.4,5,0,N/A
20251126,18:13:32.766,SeleneSNum0001  ,24.0,24.0,28,9956322,3000,E280116060000204AC6AD1FD,F6EE,-70.4,3,0,N/A
