date,time,r/w serial#,antenna power#0,antenna power#1,TAG No.,elapsed time,PC,EPC,CRC,RSSI,COUNT,ANT,misc.
20251126,18:24:47.593,SeleneSNum0001  ,24.0,24.0,1,10631208,3000,E280116060000204AC6AD0EC,C7CF,-63.6,1,0,N/A
20251126,18:24:47.593,SeleneSNum0001  ,24.0,24.0,2,10631213,3000,E280116060000204AC6AD1FB,9628,-57.6,1,0,N/A
20251126,18:24:47.593,SeleneSNum0001  ,24.0,24.0,3,10631217,3000,E280116060000204AC6AD0E6,6685,-60.8,1,0,N/A
20251126,18:24:47.593,SeleneSNum0001  ,24.0,24.0,4,10631222,3000,E280116060000204AC6AD1FC,E6CF,-57.6,1,0,N/A
20251126,18:24:47.593,SeleneSNum0001  ,24.0,24.0,5,10631229,3000,E280116060000204AC6AD1FE,C68D,-54.8,1,0,N/A
20251126,18:24:47.593,SeleneSNum0001  ,24.0,24.0,6,10631235,3000,E280116060000204AC6AD1FD,F6EE,-61.8,1,0,N/A
20251126,18:24:47.677,SeleneSNum0001  ,24.0,24.0,7,10631246,3000,E280116060000204AC6AD1FD,F6EE,-61.8,3,0,N/A
20251126,18:24:47.677,SeleneSNum0001  ,24.0,24.0,8,10631250,3000,E280116060000204AC6AD1FC,E6CF,-57.6,3,0,N/A
20251126,18:24:47.677,SeleneSNum0001  ,24.0,24.0,9,10631263,3000,E280116060000204AC6AD0E6,6685,-60.8,3,0,N/A
20251126,18:24:47.677,SeleneSNum0001  ,24.0,24.0,10,10631271,3000,E280116060000204AC6AD1FE,C68D,-55.8,3,0,N/A
20251126,18:24:47.677,SeleneSNum0001  ,24.0,24.0,11,10631275,3000,E280116060000204AC6AD1FB,9628,-56.4,3,0,N/A
20251126,18:24:47.677,SeleneSNum0001  ,24.0,24.0,12,10631280,3000,E280116060000204AC6AD0EC,C7CF,-65.9,1,0,N/A
20251126,18:24:47.740,SeleneSNum0001  ,24.0,24.0,13,10631319,3000,E280116060000204AC6AD0EC,C7CF,-65.1,3,0,N/A
20251126,18:24:47.740,SeleneSNum0001  ,24.0,24.0,14,10631333,3000,E280116060000204AC6AD1FC,E6CF,-59.1,3,0,N/A
20251126,18:24:47.740,SeleneSNum0001  ,24.0,24.0,15,10631337,3000,E280116060000204AC6AD1FE,C68D,-56.4,3,0,N/A
20251126,18:24:47.740,SeleneSNum0001  ,24.0,24.0,16,10631351,3000,E280116060000204AC6AD0E6,6685,-57.6,1,0,N/A
20251126,18:24:47.740,SeleneSNum0001  ,24.0,24.0,17,10631358,3000,E280116060000204AC6AD1FD,F6EE,-61.8,1,0,N/A
20251126,18:24:47.740,SeleneSNum0001  ,24.0,24.0,18,10631363,3000,E280116060000204AC6AD1FB,9628,-58.3,1,0,N/A
20251126,18:24:47.809,SeleneSNum0001  ,24.0,24.0,19,10631394,3000,E280116060000204AC6AD1FD,F6EE,-62.4,3,0,N/A
20251126,18:24:47.809,SeleneSNum0001  ,24.0,24.0,20,10631398,3000,E280116060000204AC6AD1FB,9628,-56.4,3,0,N/A
20251126,18:24:47.809,SeleneSNum0001  ,24.0,24.0,21,10631406,3000,E280116060000204AC6AD0EC,C7CF,-61.8,3,0,N/A
20251126,18:24:47.809,SeleneSNum0001  ,24.0,24.0,22,10631411,3000,E280116060000204AC6AD0E6,6685,-59.9,3,0,N/A
20251126,18:24:47.809,SeleneSNum0001  ,24.0,24.0,23,10631442,3000,E280116060000204AC6AD1FE,C68D,-56.4,1,0,N/A
20251126,18:24:47.809,SeleneSNum0001  ,24.0,24.0,24,10631450,3000,E280116060000204AC6AD1FC,E6CF,-57.0,1,0,N/A
20251126,18:24:47.878,SeleneSNum0001  ,24.0,24.0,25,10631462,3000,E280116060000204AC6AD0E6,6685,-59.9,1,0,N/A
20251126,18:24:47.878,SeleneSNum0001  ,24.0,24.0,26,10631469,3000,E280116060000204AC6AD1FE,C68D,-55.8,3,0,N/A
20251126,18:24:47.878,SeleneSNum0001  ,24.0,24.0,27,10631479,3000,E280116060000204AC6AD1FC,E6CF,-58.3,1,0,N/A
20251126,18:24:47.878,SeleneSNum0001  ,24.0,24.0,28,10631485,3000,E280116060000204AC6AD0EC,C7CF,-60.8,3,0,N/A
20251126,18:24:47.878,SeleneSNum0001  ,24.0,24.0,29,10631496,3000,E280116060000204AC6AD1FD,F6EE,-62.4,3,0,N/A
20251126,18:24:47.878,SeleneSNum0001  ,24.0,24.0,30,10631503,3000,E280116060000204AC6AD1FB,9628,-58.3,1,0,N/A
20251126,18:24:47.940,SeleneSNum0001  ,24.0,24.0,31,10631529,3000,E280116060000204AC6AD1FB,9628,-57.0,3,0,N/A
20251126,18:24:47.940,SeleneSNum0001  ,24.0,24.0,32,10631535,3000,E280116060000204AC6AD0E6,6685,-59.1,3,0,N/A
20251126,18:24:47.940,SeleneSNum0001  ,24.0,24.0,33,10631540,3000,E280116060000204AC6AD1FC,E6CF,-57.0,1,0,N/A
20251126,18:24:47.940,SeleneSNum0001  ,24.0,24.0,34,10631549,3000,E280116060000204AC6AD0EC,C7CF,-64.3,1,0,N/A
20251126,18:24:47.940,SeleneSNum0001  ,24.0,24.0,35,10631574,3000,E280116060000204AC6AD1FE,C68D,-56.4,1,0,N/A
20251126,18:24:47.940,SeleneSNum0001  ,24.0,24.0,36,10631578,3000,E280116060000204AC6AD1FD,F6EE,-61.8,1,0,N/A
20251126,18:24:48.009,SeleneSNum0001  ,24.0,24.0,37,10631586,3000,E280116060000204AC6AD1FC,E6CF,-58.3,5,0,N/A
20251126,18:24:48.009,SeleneSNum0001  ,24.0,24.0,38,10631598,3000,E280116060000204AC6AD0EC,C7CF,-64.3,3,0,N/A
20251126,18:24:48.009,SeleneSNum0001  ,24.0,24.0,39,10631605,3000,E280116060000204AC6AD1FB,9628,-57.0,3,0,N/A
20251126,18:24:48.009,SeleneSNum0001  ,24.0,24.0,40,10631609,3000,E280116060000204AC6AD1FE,C68D,-54.8,1,0,N/A
20251126,18:24:48.009,SeleneSNum0001  ,24.0,24.0,41,10631616,3000,E280116060000204AC6AD1FD,F6EE,-63.6,1,0,N/A
20251126,18:24:48.009,SeleneSNum0001  ,24.0,24.0,42,10631623,3000,E280116060000204AC6AD0E6,6685,-59.1,3,0,N/A
