date,time,r/w serial#,antenna power#0,antenna power#1,TAG No.,elapsed time,PC,EPC,CRC,RSSI,COUNT,ANT,misc.
20251126,16:19:32.966,SeleneSNum0001  ,24.0,24.0,1,5975520,3000,E280116060000204AC6AD1FC,E6CF,-59.9,1,0,N/A
20251126,16:19:32.966,SeleneSNum0001  ,24.0,24.0,2,5975524,3000,E280116060000204AC6AD1FD,F6EE,-59.9,3,0,N/A
20251126,16:19:32.966,SeleneSNum0001  ,24.0,24.0,3,5975532,3000,E280116060000204AC6AD1FE,C68D,-57.0,1,0,N/A
20251126,16:19:32.966,SeleneSNum0001  ,24.0,24.0,4,5975537,3000,E280116060000204AC6AD1F9,B66A,-56.4,1,0,N/A
20251126,16:19:32.966,SeleneSNum0001  ,24.0,24.0,5,5975541,3000,E280116060000204AC6AD0E6,6685,-57.6,3,0,N/A
20251126,16:19:33.035,SeleneSNum0001  ,24.0,24.0,6,5975562,3000,E280116060000204AC6AD1FE,C68D,-57.6,3,0,N/A
20251126,16:19:33.035,SeleneSNum0001  ,24.0,24.0,7,5975569,3000,E280116060000204AC6AD1FC,E6CF,-59.1,3,0,N/A
20251126,16:19:33.035,SeleneSNum0001  ,24.0,24.0,8,5975575,3000,E280116060000204AC6AD1F9,B66A,-56.4,3,0,N/A
20251126,16:19:33.035,SeleneSNum0001  ,24.0,24.0,9,5975602,3000,E280116060000204AC6AD1FD,F6EE,-59.1,1,0,N/A
20251126,16:19:33.035,SeleneSNum0001  ,24.0,24.0,10,5975607,3000,E280116060000204AC6AD0E6,6685,-58.3,3,0,N/A
20251126,16:19:33.082,SeleneSNum0001  ,24.0,24.0,11,5975632,3000,E280116060000204AC6AD1FC,E6CF,-59.9,3,0,N/A
20251126,16:19:33.082,SeleneSNum0001  ,24.0,24.0,12,5975639,3000,E280116060000204AC6AD1F9,B66A,-56.4,3,0,N/A
20251126,16:19:33.082,SeleneSNum0001  ,24.0,24.0,13,5975643,3000,E280116060000204AC6AD1FD,F6EE,-59.9,3,0,N/A
20251126,16:19:33.082,SeleneSNum0001  ,24.0,24.0,14,5975647,3000,E280116060000204AC6AD1FE,C68D,-57.6,1,0,N/A
20251126,16:19:33.151,SeleneSNum0001  ,24.0,24.0,15,5975680,3000,E280116060000204AC6AD0E6,6685,-57.6,3,0,N/A
20251126,16:19:33.151,SeleneSNum0001  ,24.0,24.0,16,5975687,3000,E280116060000204AC6AD1FE,C68D,-57.6,5,0,N/A
20251126,16:19:33.151,SeleneSNum0001  ,24.0,24.0,17,5975696,3000,E280116060000204AC6AD1FC,E6CF,-59.9,1,0,N/A
20251126,16:19:33.151,SeleneSNum0001  ,24.0,24.0,18,5975700,3000,E280116060000204AC6AD1F9,B66A,-57.0,3,0,N/A
20251126,16:19:33.151,SeleneSNum0001  ,24.0,24.0,19,5975710,3000,E280116060000204AC6AD1FD,F6EE,-59.9,1,0,N/A
20251126,16:19:33.220,SeleneSNum0001  ,24.0,24.0,20,5975747,3000,E280116060000204AC6AD0E6,6685,-58.3,5,0,N/A
