date,time,r/w serial#,antenna power#0,antenna power#1,TAG No.,elapsed time,PC,EPC,CRC,RSSI,COUNT,ANT,misc.
20251121,16:36:39.851,SeleneSNum0001  ,24.0,24.0,1,4765141,3000,E280116060000204AC6AD1FD,F6EE,-61.8,1,0,N/A
20251121,16:36:39.851,SeleneSNum0001  ,24.0,24.0,2,4765149,3000,E280116060000204AC6AD1F9,B66A,-65.9,1,0,N/A
20251121,16:36:39.851,SeleneSNum0001  ,24.0,24.0,3,4765153,3000,E280116060000204AC6AC8F0,9EA8,-67.9,1,0,N/A
20251121,16:36:39.851,SeleneSNum0001  ,24.0,24.0,4,4765158,3000,E280116060000204AC6AD0E6,6685,-53.0,3,0,N/A
20251121,16:36:39.851,SeleneSNum0001  ,24.0,24.0,5,4765165,3000,E280116060000204AC6AD1FE,C68D,-61.8,3,0,N/A
20251121,16:36:39.920,SeleneSNum0001  ,24.0,24.0,6,4765184,3000,E280116060000204AC6AC8F0,9EA8,-63.6,5,0,N/A
20251121,16:36:39.920,SeleneSNum0001  ,24.0,24.0,7,4765190,3000,E280116060000204AC6AD1F9,B66A,-63.0,5,0,N/A
20251121,16:36:39.920,SeleneSNum0001  ,24.0,24.0,8,4765196,3000,E280116060000204AC6AD1FD,F6EE,-65.9,3,0,N/A
20251121,16:36:39.920,SeleneSNum0001  ,24.0,24.0,9,4765206,3000,E280116060000204AC6AD1FE,C68D,-65.9,3,0,N/A
20251121,16:36:39.920,SeleneSNum0001  ,24.0,24.0,10,4765219,3000,E280116060000204AC6AD0E6,6685,-53.0,1,0,N/A
20251121,16:36:39.983,SeleneSNum0001  ,24.0,24.0,11,4765257,3000,E280116060000204AC6AD1FD,F6EE,-64.3,3,0,N/A
20251121,16:36:39.983,SeleneSNum0001  ,24.0,24.0,12,4765261,3000,E280116060000204AC6AD0E6,6685,-53.0,5,0,N/A
20251121,16:36:39.983,SeleneSNum0001  ,24.0,24.0,13,4765276,3000,E280116060000204AC6AC8F0,9EA8,-64.3,1,0,N/A
20251121,16:36:39.983,SeleneSNum0001  ,24.0,24.0,14,4765283,3000,E280116060000204AC6AD1FE,C68D,-61.8,3,0,N/A
20251121,16:36:39.983,SeleneSNum0001  ,24.0,24.0,15,4765295,3000,E280116060000204AC6AD1F9,B66A,-62.4,1,0,N/A
20251121,16:36:40.043,SeleneSNum0001  ,24.0,24.0,16,4765316,3000,E280116060000204AC6AD1FD,F6EE,-66.8,3,0,N/A
20251121,16:36:40.043,SeleneSNum0001  ,24.0,24.0,17,4765324,3000,E280116060000204AC6AD1F9,B66A,-63.0,3,0,N/A
20251121,16:36:40.043,SeleneSNum0001  ,24.0,24.0,18,4765329,3000,E280116060000204AC6AC8F0,9EA8,-69.0,3,0,N/A
20251121,16:36:40.043,SeleneSNum0001  ,24.0,24.0,19,4765345,3000,E280116060000204AC6AD0E6,6685,-53.0,1,0,N/A
20251121,16:36:40.043,SeleneSNum0001  ,24.0,24.0,20,4765353,3000,E280116060000204AC6AD1FE,C68D,-61.8,3,0,N/A
20251121,16:36:40.105,SeleneSNum0001  ,24.0,24.0,21,4765374,3000,E280116060000204AC6AD0E6,6685,-53.9,5,0,N/A
20251121,16:36:40.105,SeleneSNum0001  ,24.0,24.0,22,4765390,3000,E280116060000204AC6AD1FE,C68D,-63.0,3,0,N/A
20251121,16:36:40.105,SeleneSNum0001  ,24.0,24.0,23,4765409,3000,E280116060000204AC6AD1F9,B66A,-61.8,1,0,N/A
20251121,16:36:40.105,SeleneSNum0001  ,24.0,24.0,24,4765428,3000,E280116060000204AC6AC8F0,9EA8,-65.9,1,0,N/A
20251121,16:36:40.171,SeleneSNum0001  ,24.0,24.0,25,4765432,3000,E280116060000204AC6AD1FD,F6EE,-61.8,5,0,N/A
20251121,16:36:40.171,SeleneSNum0001  ,24.0,24.0,26,4765445,3000,E280116060000204AC6AD0E6,6685,-52.3,3,0,N/A
20251121,16:36:40.171,SeleneSNum0001  ,24.0,24.0,27,4765449,3000,E280116060000204AC6AD1F9,B66A,-64.3,3,0,N/A
20251121,16:36:40.171,SeleneSNum0001  ,24.0,24.0,28,4765455,3000,E280116060000204AC6AD1FE,C68D,-62.4,3,0,N/A
20251121,16:36:40.171,SeleneSNum0001  ,24.0,24.0,29,4765466,3000,E280116060000204AC6AC8F0,9EA8,-65.9,1,0,N/A
20251121,16:36:40.236,SeleneSNum0001  ,24.0,24.0,30,4765508,3000,E280116060000204AC6AD0E6,6685,-52.3,3,0,N/A
20251121,16:36:40.236,SeleneSNum0001  ,24.0,24.0,31,4765512,3000,E280116060000204AC6AD1FD,F6EE,-65.9,3,0,N/A
20251121,16:36:40.236,SeleneSNum0001  ,24.0,24.0,32,4765530,3000,E280116060000204AC6AD1F9,B66A,-61.8,3,0,N/A
20251121,16:36:40.236,SeleneSNum0001  ,24.0,24.0,33,4765540,3000,E280116060000204AC6AD1FE,C68D,-61.8,3,0,N/A
20251121,16:36:40.305,SeleneSNum0001  ,24.0,24.0,34,4765570,3000,E280116060000204AC6AC8F0,9EA8,-66.8,5,0,N/A
20251121,16:36:40.305,SeleneSNum0001  ,24.0,24.0,35,4765583,3000,E280116060000204AC6AD0E6,6685,-53.0,3,0,N/A
20251121,16:36:40.305,SeleneSNum0001  ,24.0,24.0,36,4765588,3000,E280116060000204AC6AD1F9,B66A,-63.0,3,0,N/A
20251121,16:36:40.305,SeleneSNum0001  ,24.0,24.0,37,4765595,3000,E280116060000204AC6AD1FE,C68D,-62.4,3,0,N/A
20251121,16:36:40.305,SeleneSNum0001  ,24.0,24.0,38,4765604,3000,E280116060000204AC6AD1FD,F6EE,-63.0,1,0,N/A
20251121,16:36:40.368,SeleneSNum0001  ,24.0,24.0,39,4765637,3000,E280116060000204AC6AD1FD,F6EE,-63.6,5,0,N/A
20251121,16:36:40.368,SeleneSNum0001  ,24.0,24.0,40,4765646,3000,E280116060000204AC6AD1F9,B66A,-63.6,1,0,N/A
