date,time,r/w serial#,antenna power#0,antenna power#1,TAG No.,elapsed time,PC,EPC,CRC,RSSI,COUNT,ANT,misc.
20251121,16:49:09.834,SeleneSNum0001  ,24.0,24.0,1,5515158,3000,E280116060000204AC6AD0E6,6685,-59.9,1,0,N/A
20251121,16:49:09.834,SeleneSNum0001  ,24.0,24.0,2,5515168,3000,E280116060000204AC6AD1F9,B66A,-66.8,3,0,N/A
20251121,16:49:09.834,SeleneSNum0001  ,24.0,24.0,3,5515172,3000,E280116060000204AC6AD1FD,F6EE,-63.6,3,0,N/A
20251121,16:49:09.834,SeleneSNum0001  ,24.0,24.0,4,5515176,3000,E280116060000204AC6AD1FA,8609,-64.3,3,0,N/A
20251121,16:49:09.834,SeleneSNum0001  ,24.0,24.0,5,5515180,3000,E280116060000204AC6AD0EC,C7CF,-67.9,3,0,N/A
20251121,16:49:09.903,SeleneSNum0001  ,24.0,24.0,6,5515214,3000,E280116060000204AC6AD0E6,6685,-60.8,5,0,N/A
20251121,16:49:09.903,SeleneSNum0001  ,24.0,24.0,7,5515228,3000,E280116060000204AC6AD1FA,8609,-66.8,3,0,N/A
20251121,16:49:09.903,SeleneSNum0001  ,24.0,24.0,8,5515235,3000,E280116060000204AC6AD0EC,C7CF,-69.0,1,0,N/A
20251121,16:49:09.903,SeleneSNum0001  ,24.0,24.0,9,5515245,3000,E280116060000204AC6AD1F9,B66A,-65.9,3,0,N/A
20251121,16:49:09.903,SeleneSNum0001  ,24.0,24.0,10,5515251,3000,E280116060000204AC6AD1FD,F6EE,-63.6,3,0,N/A
20251121,16:49:09.952,SeleneSNum0001  ,24.0,24.0,11,5515283,3000,E280116060000204AC6AD0EC,C7CF,-68.4,3,0,N/A
20251121,16:49:09.952,SeleneSNum0001  ,24.0,24.0,12,5515293,3000,E280116060000204AC6AD0E6,6685,-60.8,1,0,N/A
20251121,16:49:09.952,SeleneSNum0001  ,24.0,24.0,13,5515298,3000,E280116060000204AC6AD1FD,F6EE,-62.4,1,0,N/A
20251121,16:49:09.952,SeleneSNum0001  ,24.0,24.0,14,5515312,3000,E280116060000204AC6AD1F9,B66A,-66.8,1,0,N/A
20251121,16:49:10.019,SeleneSNum0001  ,24.0,24.0,15,5515323,3000,E280116060000204AC6AD1FA,8609,-66.8,5,0,N/A
20251121,16:49:10.019,SeleneSNum0001  ,24.0,24.0,16,5515343,3000,E280116060000204AC6AD1FD,F6EE,-63.0,1,0,N/A
20251121,16:49:10.019,SeleneSNum0001  ,24.0,24.0,17,5515349,3000,E280116060000204AC6AD0E6,6685,-60.8,1,0,N/A
20251121,16:49:10.019,SeleneSNum0001  ,24.0,24.0,18,5515355,3000,E280116060000204AC6AD1F9,B66A,-63.0,3,0,N/A
20251121,16:49:10.019,SeleneSNum0001  ,24.0,24.0,19,5515368,3000,E280116060000204AC6AD0EC,C7CF,-68.4,3,0,N/A
20251121,16:49:10.089,SeleneSNum0001  ,24.0,24.0,20,5515392,3000,E280116060000204AC6AD0E6,6685,-59.9,5,0,N/A
20251121,16:49:10.089,SeleneSNum0001  ,24.0,24.0,21,5515401,3000,E280116060000204AC6AD1FD,F6EE,-64.3,5,0,N/A
20251121,16:49:10.089,SeleneSNum0001  ,24.0,24.0,22,5515416,3000,E280116060000204AC6AD1F9,B66A,-65.1,1,0,N/A
20251121,16:49:10.089,SeleneSNum0001  ,24.0,24.0,23,5515426,3000,E280116060000204AC6AD1FA,8609,-63.0,3,0,N/A
20251121,16:49:10.089,SeleneSNum0001  ,24.0,24.0,24,5515437,3000,E280116060000204AC6AD0EC,C7CF,-69.0,3,0,N/A
20251121,16:49:10.149,SeleneSNum0001  ,24.0,24.0,25,5515470,3000,E280116060000204AC6AD1F9,B66A,-64.3,3,0,N/A
20251121,16:49:10.149,SeleneSNum0001  ,24.0,24.0,26,5515484,3000,E280116060000204AC6AD0EC,C7CF,-67.9,1,0,N/A
20251121,16:49:10.149,SeleneSNum0001  ,24.0,24.0,27,5515489,3000,E280116060000204AC6AD1FA,8609,-67.9,1,0,N/A
20251121,16:49:10.149,SeleneSNum0001  ,24.0,24.0,28,5515493,3000,E280116060000204AC6AD1FD,F6EE,-63.0,3,0,N/A
20251121,16:49:10.149,SeleneSNum0001  ,24.0,24.0,29,5515499,3000,E280116060000204AC6AD0E6,6685,-61.8,3,0,N/A
20251121,16:49:10.205,SeleneSNum0001  ,24.0,24.0,30,5515527,3000,E280116060000204AC6AD1F9,B66A,-63.6,3,0,N/A
20251121,16:49:10.205,SeleneSNum0001  ,24.0,24.0,31,5515532,3000,E280116060000204AC6AD1FA,8609,-64.3,5,0,N/A
20251121,16:49:10.205,SeleneSNum0001  ,24.0,24.0,32,5515543,3000,E280116060000204AC6AD0E6,6685,-59.9,1,0,N/A
20251121,16:49:10.205,SeleneSNum0001  ,24.0,24.0,33,5515558,3000,E280116060000204AC6AD1FD,F6EE,-61.8,1,0,N/A
20251121,16:49:10.205,SeleneSNum0001  ,24.0,24.0,34,5515572,3000,E280116060000204AC6AD0EC,C7CF,-68.4,1,0,N/A
