date,time,r/w serial#,antenna power#0,antenna power#1,TAG No.,elapsed time,PC,EPC,CRC,RSSI,COUNT,ANT,misc.
20251120,15:23:35.797,SeleneSNum0001  ,24.0,24.0,1,2218111,3000,E280116060000204AC6AD0EC,C7CF,-59.1,1,0,N/A
20251120,15:23:35.860,SeleneSNum0001  ,24.0,24.0,2,2218141,3000,E280116060000204AC6AD0EC,C7CF,-55.8,5,0,N/A
20251120,15:23:35.929,SeleneSNum0001  ,24.0,24.0,3,2218213,3000,E280116060000204AC6AD0EC,C7CF,-54.8,7,0,N/A
20251120,15:23:36.245,SeleneSNum0001  ,24.0,24.0,4,2218276,3000,E280116060000204AC6AD0EC,C7CF,-55.8,5,0,N/A
20251120,15:23:36.298,SeleneSNum0001  ,24.0,24.0,5,2218601,3000,E280116060000204AC6AD0EC,C7CF,-55.8,5,0,N/A
20251120,15:23:36.361,SeleneSNum0001  ,24.0,24.0,6,2218647,3000,E280116060000204AC6AD0EC,C7CF,-59.9,5,0,N/A
20251120,15:23:36.430,SeleneSNum0001  ,24.0,24.0,7,2218714,3000,E280116060000204AC6AD0E6,6685,-63.0,5,0,N/A
20251120,15:23:36.430,SeleneSNum0001  ,24.0,24.0,8,2218734,3000,E280116060000204AC6AD1FE,C68D,-65.9,3,0,N/A
20251120,15:23:36.430,SeleneSNum0001  ,24.0,24.0,9,2218748,3000,E280116060000204AC6AD0EC,C7CF,-54.8,1,0,N/A
20251120,15:23:36.499,SeleneSNum0001  ,24.0,24.0,10,2218783,3000,E280116060000204AC6AD1FE,C68D,-63.6,5,0,N/A
20251120,15:23:36.499,SeleneSNum0001  ,24.0,24.0,11,2218789,3000,E280116060000204AC6AD1FD,F6EE,-65.9,5,0,N/A
20251120,15:23:36.499,SeleneSNum0001  ,24.0,24.0,12,2218803,3000,E280116060000204AC6AD0E6,6685,-61.8,3,0,N/A
20251120,15:23:36.499,SeleneSNum0001  ,24.0,24.0,13,2218836,3000,E280116060000204AC6AD0EC,C7CF,-55.8,1,0,N/A
20251120,15:23:36.563,SeleneSNum0001  ,24.0,24.0,14,2218854,3000,E280116060000204AC6AD1FE,C68D,-60.8,3,0,N/A
20251120,15:23:36.563,SeleneSNum0001  ,24.0,24.0,15,2218858,3000,E280116060000204AC6AD0EC,C7CF,-55.8,5,0,N/A
20251120,15:23:36.563,SeleneSNum0001  ,24.0,24.0,16,2218863,3000,E280116060000204AC6AD0E6,6685,-61.8,3,0,N/A
