date,time,r/w serial#,antenna power#0,antenna power#1,TAG No.,elapsed time,PC,EPC,CRC,RSSI,COUNT,ANT,misc.
20251121,15:15:17.497,SeleneSNum0001  ,24.0,24.0,1,1312725,3000,E280116060000204AC6AD0EC,C7CF,-65.9,1,0,N/A
20251121,15:15:17.497,SeleneSNum0001  ,24.0,24.0,2,1312730,3000,E280116060000204AC6AD1FE,C68D,-67.9,1,0,N/A
20251121,15:15:17.497,SeleneSNum0001  ,24.0,24.0,3,1312737,3000,E280116060000204AC6AD1FD,F6EE,-65.9,1,0,N/A
20251121,15:15:17.497,SeleneSNum0001  ,24.0,24.0,4,1312742,3000,E280116060000204AC6AD1FA,8609,-70.4,1,0,N/A
20251121,15:15:17.497,SeleneSNum0001  ,24.0,24.0,5,1312746,3000,E280116060000204AC6AD1FB,9628,-58.3,3,0,N/A
20251121,15:15:17.497,SeleneSNum0001  ,24.0,24.0,6,1312750,3000,E280116060000204AC6AD1F9,B66A,-51.0,1,0,N/A
20251121,15:15:17.497,SeleneSNum0001  ,24.0,24.0,7,1312758,3000,E280116060000204AC6AD0E9,976A,-67.9,1,0,N/A
20251121,15:15:17.581,SeleneSNum0001  ,24.0,24.0,8,1312779,3000,E280116060000204AC6AD0EC,C7CF,-67.9,3,0,N/A
20251121,15:15:17.581,SeleneSNum0001  ,24.0,24.0,9,1312784,3000,E280116060000204AC6AD1F9,B66A,-51.0,3,0,N/A
20251121,15:15:17.581,SeleneSNum0001  ,24.0,24.0,10,1312788,3000,E280116060000204AC6AD1FD,F6EE,-66.8,5,0,N/A
20251121,15:15:17.581,SeleneSNum0001  ,24.0,24.0,11,1312797,3000,E280116060000204AC6AD0E9,976A,-66.8,3,0,N/A
20251121,15:15:17.581,SeleneSNum0001  ,24.0,24.0,12,1312804,3000,E280116060000204AC6AD1FE,C68D,-67.9,1,0,N/A
20251121,15:15:17.581,SeleneSNum0001  ,24.0,24.0,13,1312816,3000,E280116060000204AC6AD1FB,9628,-58.3,1,0,N/A
20251121,15:15:17.613,SeleneSNum0001  ,24.0,24.0,14,1312865,3000,E280116060000204AC6AD1FB,9628,-58.3,1,0,N/A
20251121,15:15:17.613,SeleneSNum0001  ,24.0,24.0,15,1312870,3000,E280116060000204AC6AD1F9,B66A,-51.6,1,0,N/A
20251121,15:15:17.613,SeleneSNum0001  ,24.0,24.0,16,1312883,3000,E280116060000204AC6AD0EC,C7CF,-65.9,1,0,N/A
20251121,15:15:17.613,SeleneSNum0001  ,24.0,24.0,17,1312887,3000,E280116060000204AC6AD0E9,976A,-65.1,3,0,N/A
20251121,15:15:17.613,SeleneSNum0001  ,24.0,24.0,18,1312899,3000,E280116060000204AC6AD1FE,C68D,-66.8,1,0,N/A
20251121,15:15:17.675,SeleneSNum0001  ,24.0,24.0,19,1312908,3000,E280116060000204AC6AD1FB,9628,-58.3,3,0,N/A
20251121,15:15:17.675,SeleneSNum0001  ,24.0,24.0,20,1312912,3000,E280116060000204AC6AD1F9,B66A,-51.0,3,0,N/A
20251121,15:15:17.675,SeleneSNum0001  ,24.0,24.0,21,1312922,3000,E280116060000204AC6AD0EC,C7CF,-65.9,3,0,N/A
20251121,15:15:17.675,SeleneSNum0001  ,24.0,24.0,22,1312934,3000,E280116060000204AC6AD0E9,976A,-65.9,1,0,N/A
20251121,15:15:17.744,SeleneSNum0001  ,24.0,24.0,23,1312956,3000,E280116060000204AC6AD1FE,C68D,-65.9,5,0,N/A
20251121,15:15:17.744,SeleneSNum0001  ,24.0,24.0,24,1312968,3000,E280116060000204AC6AD0EC,C7CF,-65.9,3,0,N/A
20251121,15:15:17.744,SeleneSNum0001  ,24.0,24.0,25,1312977,3000,E280116060000204AC6AD1FB,9628,-58.3,3,0,N/A
20251121,15:15:17.744,SeleneSNum0001  ,24.0,24.0,26,1312982,3000,E280116060000204AC6AD0E9,976A,-64.3,1,0,N/A
20251121,15:15:17.744,SeleneSNum0001  ,24.0,24.0,27,1312987,3000,E280116060000204AC6AD1F9,B66A,-51.0,3,0,N/A
20251121,15:15:17.797,SeleneSNum0001  ,24.0,24.0,28,1313023,3000,E280116060000204AC6AD0E9,976A,-65.9,3,0,N/A
20251121,15:15:17.797,SeleneSNum0001  ,24.0,24.0,29,1313031,3000,E280116060000204AC6AD1FB,9628,-58.3,1,0,N/A
20251121,15:15:17.797,SeleneSNum0001  ,24.0,24.0,30,1313041,3000,E280116060000204AC6AD0EC,C7CF,-65.1,3,0,N/A
20251121,15:15:17.797,SeleneSNum0001  ,24.0,24.0,31,1313046,3000,E280116060000204AC6AD1F9,B66A,-51.0,1,0,N/A
20251121,15:15:17.797,SeleneSNum0001  ,24.0,24.0,32,1313059,3000,E280116060000204AC6AD1FE,C68D,-66.8,1,0,N/A
20251121,15:15:17.860,SeleneSNum0001  ,24.0,24.0,33,1313076,3000,E280116060000204AC6AD0E9,976A,-65.1,3,0,N/A
20251121,15:15:17.860,SeleneSNum0001  ,24.0,24.0,34,1313083,3000,E280116060000204AC6AD1FB,9628,-58.3,5,0,N/A
20251121,15:15:17.860,SeleneSNum0001  ,24.0,24.0,35,1313087,3000,E280116060000204AC6AD1F9,B66A,-51.0,5,0,N/A
20251121,15:15:17.860,SeleneSNum0001  ,24.0,24.0,36,1313111,3000,E280116060000204AC6AD0EC,C7CF,-65.9,3,0,N/A
20251121,15:15:17.929,SeleneSNum0001  ,24.0,24.0,37,1313145,3000,E280116060000204AC6AD1FE,C68D,-67.9,5,0,N/A
20251121,15:15:17.929,SeleneSNum0001  ,24.0,24.0,38,1313151,3000,E280116060000204AC6AD0E9,976A,-65.9,3,0,N/A
20251121,15:15:17.929,SeleneSNum0001  ,24.0,24.0,39,1313161,3000,E280116060000204AC6AD1FB,9628,-58.3,3,0,N/A
20251121,15:15:17.929,SeleneSNum0001  ,24.0,24.0,40,1313166,3000,E280116060000204AC6AD1F9,B66A,-51.6,3,0,N/A
20251121,15:15:17.929,SeleneSNum0001  ,24.0,24.0,41,1313182,3000,E280116060000204AC6AD0EC,C7CF,-66.8,1,0,N/A
20251121,15:15:17.998,SeleneSNum0001  ,24.0,24.0,42,1313213,3000,E280116060000204AC6AD0E9,976A,-65.9,3,0,N/A
20251121,15:15:17.998,SeleneSNum0001  ,24.0,24.0,43,1313220,3000,E280116060000204AC6AD0EC,C7CF,-66.8,5,0,N/A
20251121,15:15:17.998,SeleneSNum0001  ,24.0,24.0,44,1313229,3000,E280116060000204AC6AD1FB,9628,-58.3,3,0,N/A
20251121,15:15:17.998,SeleneSNum0001  ,24.0,24.0,45,1313243,3000,E280116060000204AC6AD1FE,C68D,-65.9,1,0,N/A
20251121,15:15:17.998,SeleneSNum0001  ,24.0,24.0,46,1313248,3000,E280116060000204AC6AD1F9,B66A,-51.0,3,0,N/A
20251121,15:15:18.061,SeleneSNum0001  ,24.0,24.0,47,1313279,3000,E280116060000204AC6AD1FE,C68D,-68.4,5,0,N/A
20251121,15:15:18.061,SeleneSNum0001  ,24.0,24.0,48,1313286,3000,E280116060000204AC6AD0E9,976A,-65.9,3,0,N/A
20251121,15:15:18.061,SeleneSNum0001  ,24.0,24.0,49,1313303,3000,E280116060000204AC6AD1FB,9628,-58.3,3,0,N/A
20251121,15:15:18.061,SeleneSNum0001  ,24.0,24.0,50,1313311,3000,E280116060000204AC6AD0EC,C7CF,-66.8,1,0,N/A
20251121,15:15:18.061,SeleneSNum0001  ,24.0,24.0,51,1313316,3000,E280116060000204AC6AD1F9,B66A,-51.0,3,0,N/A
20251121,15:15:18.114,SeleneSNum0001  ,24.0,24.0,52,1313343,3000,E280116060000204AC6AD0E9,976A,-65.9,5,0,N/A
20251121,15:15:18.114,SeleneSNum0001  ,24.0,24.0,53,1313354,3000,E280116060000204AC6AD0EC,C7CF,-65.9,3,0,N/A
20251121,15:15:18.114,SeleneSNum0001  ,24.0,24.0,54,1313361,3000,E280116060000204AC6AD1FB,9628,-58.3,1,0,N/A
20251121,15:15:18.114,SeleneSNum0001  ,24.0,24.0,55,1313376,3000,E280116060000204AC6AD1F9,B66A,-51.0,1,0,N/A
20251121,15:15:18.114,SeleneSNum0001  ,24.0,24.0,56,1313386,3000,E280116060000204AC6AD1FE,C68D,-67.9,1,0,N/A
20251121,15:15:18.177,SeleneSNum0001  ,24.0,24.0,57,1313398,3000,E280116060000204AC6AD1FB,9628,-58.3,3,0,N/A
20251121,15:15:18.177,SeleneSNum0001  ,24.0,24.0,58,1313403,3000,E280116060000204AC6AD0EC,C7CF,-65.9,3,0,N/A
20251121,15:15:18.177,SeleneSNum0001  ,24.0,24.0,59,1313412,3000,E280116060000204AC6AD1F9,B66A,-51.6,3,0,N/A
20251121,15:15:18.177,SeleneSNum0001  ,24.0,24.0,60,1313417,3000,E280116060000204AC6AD1FE,C68D,-67.9,3,0,N/A
20251121,15:15:18.177,SeleneSNum0001  ,24.0,24.0,61,1313425,3000,E280116060000204AC6AD0E9,976A,-65.9,1,0,N/A
20251121,15:15:18.245,SeleneSNum0001  ,24.0,24.0,62,1313458,3000,E280116060000204AC6AD0EC,C7CF,-65.9,3,0,N/A
20251121,15:15:18.245,SeleneSNum0001  ,24.0,24.0,63,1313464,3000,E280116060000204AC6AD0E9,976A,-65.9,5,0,N/A
20251121,15:15:18.245,SeleneSNum0001  ,24.0,24.0,64,1313473,3000,E280116060000204AC6AD1F9,B66A,-51.6,3,0,N/A
20251121,15:15:18.245,SeleneSNum0001  ,24.0,24.0,65,1313479,3000,E280116060000204AC6AD1FB,9628,-58.3,3,0,N/A
20251121,15:15:18.245,SeleneSNum0001  ,24.0,24.0,66,1313519,3000,E280116060000204AC6AD1FE,C68D,-67.9,1,0,N/A
20251121,15:15:18.299,SeleneSNum0001  ,24.0,24.0,67,1313527,3000,E280116060000204AC6AD1F9,B66A,-51.6,3,0,N/A
20251121,15:15:18.299,SeleneSNum0001  ,24.0,24.0,68,1313532,3000,E280116060000204AC6AD0EC,C7CF,-68.4,3,0,N/A
20251121,15:15:18.299,SeleneSNum0001  ,24.0,24.0,69,1313536,3000,E280116060000204AC6AD1FB,9628,-58.3,3,0,N/A
20251121,15:15:18.299,SeleneSNum0001  ,24.0,24.0,70,1313557,3000,E280116060000204AC6AD0E9,976A,-65.9,1,0,N/A
20251121,15:15:18.299,SeleneSNum0001  ,24.0,24.0,71,1313568,3000,E280116060000204AC6AD1FE,C68D,-65.9,1,0,N/A
20251121,15:15:18.362,SeleneSNum0001  ,24.0,24.0,72,1313579,3000,E280116060000204AC6AD0E9,976A,-66.8,3,0,N/A
20251121,15:15:18.362,SeleneSNum0001  ,24.0,24.0,73,1313584,3000,E280116060000204AC6AD1FB,9628,-59.1,3,0,N/A
20251121,15:15:18.362,SeleneSNum0001  ,24.0,24.0,74,1313590,3000,E280116060000204AC6AD1FE,C68D,-67.9,3,0,N/A
20251121,15:15:18.362,SeleneSNum0001  ,24.0,24.0,75,1313595,3000,E280116060000204AC6AD1F9,B66A,-51.6,3,0,N/A
20251121,15:15:18.362,SeleneSNum0001  ,24.0,24.0,76,1313599,3000,E280116060000204AC6AD0EC,C7CF,-67.9,3,0,N/A
20251121,15:15:18.430,SeleneSNum0001  ,24.0,24.0,77,1313643,3000,E280116060000204AC6AD1FE,C68D,-67.9,3,0,N/A
20251121,15:15:18.430,SeleneSNum0001  ,24.0,24.0,78,1313647,3000,E280116060000204AC6AD1FB,9628,-58.3,3,0,N/A
20251121,15:15:18.430,SeleneSNum0001  ,24.0,24.0,79,1313654,3000,E280116060000204AC6AD0EC,C7CF,-67.9,3,0,N/A
20251121,15:15:18.430,SeleneSNum0001  ,24.0,24.0,80,1313659,3000,E280116060000204AC6AD1F9,B66A,-51.6,3,0,N/A
20251121,15:15:18.430,SeleneSNum0001  ,24.0,24.0,81,1313670,3000,E280116060000204AC6AD0E9,976A,-67.9,3,0,N/A
20251121,15:15:18.500,SeleneSNum0001  ,24.0,24.0,82,1313715,3000,E280116060000204AC6AD1F9,B66A,-51.0,3,0,N/A
20251121,15:15:18.500,SeleneSNum0001  ,24.0,24.0,83,1313720,3000,E280116060000204AC6AD1FB,9628,-58.3,3,0,N/A
20251121,15:15:18.500,SeleneSNum0001  ,24.0,24.0,84,1313728,3000,E280116060000204AC6AD1FA,8609,-71.1,1,0,N/A
20251121,15:15:18.500,SeleneSNum0001  ,24.0,24.0,85,1313733,3000,E280116060000204AC6AD1FE,C68D,-67.9,1,0,N/A
20251121,15:15:18.500,SeleneSNum0001  ,24.0,24.0,86,1313739,3000,E280116060000204AC6AD0EC,C7CF,-68.4,3,0,N/A
20251121,15:15:18.500,SeleneSNum0001  ,24.0,24.0,87,1313744,3000,E280116060000204AC6AD0E9,976A,-65.1,3,0,N/A
20251121,15:15:18.565,SeleneSNum0001  ,24.0,24.0,88,1313784,3000,E280116060000204AC6AD1FE,C68D,-67.9,3,0,N/A
20251121,15:15:18.565,SeleneSNum0001  ,24.0,24.0,89,1313796,3000,E280116060000204AC6AD1FB,9628,-58.3,3,0,N/A
20251121,15:15:18.565,SeleneSNum0001  ,24.0,24.0,90,1313801,3000,E280116060000204AC6AD0EC,C7CF,-67.9,1,0,N/A
20251121,15:15:18.565,SeleneSNum0001  ,24.0,24.0,91,1313806,3000,E280116060000204AC6AD1FA,8609,-68.4,1,0,N/A
20251121,15:15:18.565,SeleneSNum0001  ,24.0,24.0,92,1313816,3000,E280116060000204AC6AD1F9,B66A,-51.6,1,0,N/A
20251121,15:15:18.565,SeleneSNum0001  ,24.0,24.0,93,1313821,3000,E280116060000204AC6AD0E9,976A,-65.1,1,0,N/A
20251121,15:15:18.631,SeleneSNum0001  ,24.0,24.0,94,1313839,3000,E280116060000204AC6AD1F9,B66A,-51.6,5,0,N/A
20251121,15:15:18.631,SeleneSNum0001  ,24.0,24.0,95,1313853,3000,E280116060000204AC6AD0E9,976A,-66.8,5,0,N/A
20251121,15:15:18.631,SeleneSNum0001  ,24.0,24.0,96,1313857,3000,E280116060000204AC6AD0EC,C7CF,-67.9,5,0,N/A
20251121,15:15:18.631,SeleneSNum0001  ,24.0,24.0,97,1313881,3000,E280116060000204AC6AD1FB,9628,-58.3,1,0,N/A
20251121,15:15:18.700,SeleneSNum0001  ,24.0,24.0,98,1313911,3000,E280116060000204AC6AD1FB,9628,-57.6,3,0,N/A
20251121,15:15:18.700,SeleneSNum0001  ,24.0,24.0,99,1313916,3000,E280116060000204AC6AD1FE,C68D,-69.0,5,0,N/A
20251121,15:15:18.700,SeleneSNum0001  ,24.0,24.0,100,1313940,3000,E280116060000204AC6AD1F9,B66A,-51.6,1,0,N/A
20251121,15:15:18.700,SeleneSNum0001  ,24.0,24.0,101,1313952,3000,E280116060000204AC6AD0EC,C7CF,-66.8,1,0,N/A
20251121,15:15:18.700,SeleneSNum0001  ,24.0,24.0,102,1313961,3000,E280116060000204AC6AD0E9,976A,-65.9,1,0,N/A
20251121,15:15:18.700,SeleneSNum0001  ,24.0,24.0,103,1313976,3000,E280116060000204AC6AD1FA,8609,-68.4,1,0,N/A
20251121,15:15:18.763,SeleneSNum0001  ,24.0,24.0,104,1313980,3000,E280116060000204AC6AD1FB,9628,-58.3,3,0,N/A
20251121,15:15:18.763,SeleneSNum0001  ,24.0,24.0,105,1313989,3000,E280116060000204AC6AD0EC,C7CF,-67.9,1,0,N/A
20251121,15:15:18.763,SeleneSNum0001  ,24.0,24.0,106,1313994,3000,E280116060000204AC6AD1F9,B66A,-51.0,3,0,N/A
20251121,15:15:18.763,SeleneSNum0001  ,24.0,24.0,107,1313999,3000,E280116060000204AC6AD0E9,976A,-67.9,3,0,N/A
20251121,15:15:18.763,SeleneSNum0001  ,24.0,24.0,108,1314010,3000,E280116060000204AC6AD1FE,C68D,-67.9,1,0,N/A
20251121,15:15:18.763,SeleneSNum0001  ,24.0,24.0,109,1314029,3000,E280116060000204AC6AD1FA,8609,-69.7,1,0,N/A
20251121,15:15:18.816,SeleneSNum0001  ,24.0,24.0,110,1314043,3000,E280116060000204AC6AD1F9,B66A,-51.0,3,0,N/A
20251121,15:15:18.816,SeleneSNum0001  ,24.0,24.0,111,1314048,3000,E280116060000204AC6AD1FE,C68D,-66.8,3,0,N/A
20251121,15:15:18.816,SeleneSNum0001  ,24.0,24.0,112,1314056,3000,E280116060000204AC6AD1FB,9628,-58.3,3,0,N/A
20251121,15:15:18.816,SeleneSNum0001  ,24.0,24.0,113,1314060,3000,E280116060000204AC6AD0E9,976A,-66.8,1,0,N/A
20251121,15:15:18.816,SeleneSNum0001  ,24.0,24.0,114,1314064,3000,E280116060000204AC6AD1FA,8609,-69.7,3,0,N/A
20251121,15:15:18.816,SeleneSNum0001  ,24.0,24.0,115,1314092,3000,E280116060000204AC6AD0EC,C7CF,-67.9,1,0,N/A
20251121,15:15:18.883,SeleneSNum0001  ,24.0,24.0,116,1314100,3000,E280116060000204AC6AD0E9,976A,-65.9,3,0,N/A
20251121,15:15:18.883,SeleneSNum0001  ,24.0,24.0,117,1314116,3000,E280116060000204AC6AD1FA,8609,-71.9,1,0,N/A
20251121,15:15:18.883,SeleneSNum0001  ,24.0,24.0,118,1314122,3000,E280116060000204AC6AD1FE,C68D,-69.0,1,0,N/A
20251121,15:15:18.883,SeleneSNum0001  ,24.0,24.0,119,1314134,3000,E280116060000204AC6AD1F9,B66A,-51.0,1,0,N/A
20251121,15:15:18.883,SeleneSNum0001  ,24.0,24.0,120,1314140,3000,E280116060000204AC6AD0EC,C7CF,-67.9,1,0,N/A
20251121,15:15:18.883,SeleneSNum0001  ,24.0,24.0,121,1314145,3000,E280116060000204AC6AD1FB,9628,-59.1,3,0,N/A
20251121,15:15:18.947,SeleneSNum0001  ,24.0,24.0,122,1314162,3000,E280116060000204AC6AD0EC,C7CF,-67.9,3,0,N/A
20251121,15:15:18.947,SeleneSNum0001  ,24.0,24.0,123,1314170,3000,E280116060000204AC6AD1FE,C68D,-66.8,1,0,N/A
20251121,15:15:18.947,SeleneSNum0001  ,24.0,24.0,124,1314174,3000,E280116060000204AC6AD1F9,B66A,-51.0,3,0,N/A
20251121,15:15:18.947,SeleneSNum0001  ,24.0,24.0,125,1314178,3000,E280116060000204AC6AD0E9,976A,-65.9,3,0,N/A
20251121,15:15:18.947,SeleneSNum0001  ,24.0,24.0,126,1314202,3000,E280116060000204AC6AD1FB,9628,-58.3,1,0,N/A
20251121,15:15:19.001,SeleneSNum0001  ,24.0,24.0,127,1314223,3000,E280116060000204AC6AD1FE,C68D,-67.9,3,0,N/A
20251121,15:15:19.001,SeleneSNum0001  ,24.0,24.0,128,1314238,3000,E280116060000204AC6AD1F9,B66A,-51.0,1,0,N/A
20251121,15:15:19.001,SeleneSNum0001  ,24.0,24.0,129,1314247,3000,E280116060000204AC6AD1FB,9628,-58.3,1,0,N/A
20251121,15:15:19.001,SeleneSNum0001  ,24.0,24.0,130,1314258,3000,E280116060000204AC6AD1FA,8609,-70.4,1,0,N/A
20251121,15:15:19.001,SeleneSNum0001  ,24.0,24.0,131,1314264,3000,E280116060000204AC6AD0EC,C7CF,-66.8,3,0,N/A
20251121,15:15:19.001,SeleneSNum0001  ,24.0,24.0,132,1314269,3000,E280116060000204AC6AD0E9,976A,-66.8,1,0,N/A
20251121,15:15:19.065,SeleneSNum0001  ,24.0,24.0,133,1314283,3000,E280116060000204AC6AD0E9,976A,-67.9,3,0,N/A
20251121,15:15:19.065,SeleneSNum0001  ,24.0,24.0,134,1314290,3000,E280116060000204AC6AD1F9,B66A,-51.0,3,0,N/A
20251121,15:15:19.065,SeleneSNum0001  ,24.0,24.0,135,1314295,3000,E280116060000204AC6AD1FE,C68D,-66.8,1,0,N/A
20251121,15:15:19.065,SeleneSNum0001  ,24.0,24.0,136,1314304,3000,E280116060000204AC6AD1FB,9628,-59.1,3,0,N/A
20251121,15:15:19.065,SeleneSNum0001  ,24.0,24.0,137,1314309,3000,E280116060000204AC6AD1FA,8609,-71.9,3,0,N/A
20251121,15:15:19.124,SeleneSNum0001  ,24.0,24.0,138,1314349,3000,E280116060000204AC6AD1FE,C68D,-66.8,3,0,N/A
